id,en,fr,status,ef,interval,repetitions,due
473,Dread,redouter,new,2.5,0,0,2025-10-26
474,Layover,escale,new,2.5,0,0,2025-10-26
475,To dread,redouter,new,2.5,0,0,2025-10-26
476,Spent,épuiser,new,2.5,0,0,2025-10-26
477,Diary,journal intime,new,2.5,0,0,2025-10-26
478,Out of order,hors service,new,2.5,0,0,2025-10-26
479,Turnover,chiffre d’affaire,new,2.5,0,0,2025-10-26
480,go-ahead,le feu vert,new,2.5,0,0,2025-10-26
481,Tight,serré,new,2.5,0,0,2025-10-26
482,Let,pas suivi de “to”,new,2.5,0,0,2025-10-26
483,Overview,vue d’ensemble,new,2.5,0,0,2025-10-26
484,Tireless,infaticable,new,2.5,0,0,2025-10-26
485,undeterred,Résolument,new,2.5,0,0,2025-10-26
486,decisiveness,Capacité à prendre des décisions,new,2.5,0,0,2025-10-26
487,Devising,Conception,new,2.5,0,0,2025-10-26
488,breath,souffle,new,2.5,0,0,2025-10-26
489,Afford,permettre,new,2.5,0,0,2025-10-26
490,my former colleagues,mes anciens collègues,new,2.5,0,0,2025-10-26
491,prior to then,Avant cela,new,2.5,0,0,2025-10-26
492,At dawn,à l’aube,new,2.5,0,0,2025-10-26
493,Behavior,comportement,new,2.5,0,0,2025-10-26
494,Upset,contrarier,new,2.5,0,0,2025-10-26
495,Relief,soulagement,new,2.5,0,0,2025-10-26
496,Dress pants,pantalon habiller,new,2.5,0,0,2025-10-26
497,Trails,sentiers,new,2.5,0,0,2025-10-26
498,Dealership,concession,new,2.5,0,0,2025-10-26
499,Realtor,agent immobilier,new,2.5,0,0,2025-10-26
500,Noon,midi,new,2.5,0,0,2025-10-26
501,Purses,sac a main,new,2.5,0,0,2025-10-26
502,make an appointment,Prendre rendez-vous,new,2.5,0,0,2025-10-26
503,Fold,plier,new,2.5,0,0,2025-10-26
504,Thus,ainsi,new,2.5,0,0,2025-10-26
505,brightly,brillamment (lumineux),new,2.5,0,0,2025-10-26
506,brilliantly,brillamment (competence),new,2.5,0,0,2025-10-26
507,Raw,crue,new,2.5,0,0,2025-10-26
508,Shortfalls,Déficits,new,2.5,0,0,2025-10-26
509,Sourcing,approvisionnement,new,2.5,0,0,2025-10-26
510,Inquire,se renseigner,new,2.5,0,0,2025-10-26
511,Overseas,a l’étranger,new,2.5,0,0,2025-10-26
512,Touch base,reprendre contact,new,2.5,0,0,2025-10-26
513,Relate,raconter,new,2.5,0,0,2025-10-26
514,Keen on,désireux de,new,2.5,0,0,2025-10-26
515,Useful,utile,new,2.5,0,0,2025-10-26
516,Sworn,juré,new,2.5,0,0,2025-10-26
517,I can hardly wait,Je ne peux pas attendre,new,2.5,0,0,2025-10-26
518,Mandatory,obligatoire,new,2.5,0,0,2025-10-26
519,sidetracked,détourné,new,2.5,0,0,2025-10-26
520,Aimed,adresser,new,2.5,0,0,2025-10-26
521,The bottom line,profit,new,2.5,0,0,2025-10-26
522,Recognition,reconnaissance,new,2.5,0,0,2025-10-26
523,Steep,raide,new,2.5,0,0,2025-10-26
524,Overdrawn,découvert,new,2.5,0,0,2025-10-26
525,moving forward,allez de l’avant,new,2.5,0,0,2025-10-26
526,Steam,vapeur,new,2.5,0,0,2025-10-26
527,responsible for,responsable de,new,2.5,0,0,2025-10-26
528,work things out,régler  les choses,new,2.5,0,0,2025-10-26
529,Oil spill,marais noir,new,2.5,0,0,2025-10-26
530,Cut down on,réduire sur,new,2.5,0,0,2025-10-26
531,Gives up,abandonner,new,2.5,0,0,2025-10-26
532,Excepted,prévue,new,2.5,0,0,2025-10-26
533,Claims Adjuster,expert en sinistre,new,2.5,0,0,2025-10-26
